,Totals,Periods,Label
0,18,2020-07-20,Total Number of Sequences
1,30,2020-08-10,Total Number of Sequences
2,35,2020-10-19,Total Number of Sequences
3,75,2020-10-26,Total Number of Sequences
4,296,2020-11-02,Total Number of Sequences
5,687,2020-11-09,Total Number of Sequences
6,730,2020-11-16,Total Number of Sequences
7,466,2020-11-23,Total Number of Sequences
8,611,2020-11-30,Total Number of Sequences
9,3175,2020-12-07,Total Number of Sequences
10,5709,2020-12-14,Total Number of Sequences
11,4654,2020-12-21,Total Number of Sequences
12,8819,2020-12-28,Total Number of Sequences
13,11305,2021-01-04,Total Number of Sequences
14,15270,2021-01-11,Total Number of Sequences
15,16265,2021-01-18,Total Number of Sequences
16,25266,2021-01-25,Total Number of Sequences
17,20702,2021-02-01,Total Number of Sequences
18,27381,2021-02-08,Total Number of Sequences
19,33122,2021-02-15,Total Number of Sequences
20,38775,2021-02-22,Total Number of Sequences
21,42790,2021-03-01,Total Number of Sequences
22,55541,2021-03-08,Total Number of Sequences
23,60678,2021-03-15,Total Number of Sequences
24,65520,2021-03-22,Total Number of Sequences
25,61790,2021-03-29,Total Number of Sequences
26,60989,2021-04-05,Total Number of Sequences
27,63430,2021-04-12,Total Number of Sequences
28,59208,2021-04-19,Total Number of Sequences
29,57037,2021-04-26,Total Number of Sequences
30,51296,2021-05-03,Total Number of Sequences
31,40152,2021-05-10,Total Number of Sequences
32,30901,2021-05-17,Total Number of Sequences
33,22616,2021-05-24,Total Number of Sequences
34,11344,2021-05-31,Total Number of Sequences
35,5433,2021-06-07,Total Number of Sequences
36,1102,2021-06-14,Total Number of Sequences
37,943,2021-06-21,Total Number of Sequences
