,Totals,Periods,Label
0,10,2020-10-26,Total Number of Sequences
1,17,2020-11-16,Total Number of Sequences
2,45,2020-11-23,Total Number of Sequences
3,81,2020-11-30,Total Number of Sequences
4,98,2020-12-07,Total Number of Sequences
5,164,2020-12-14,Total Number of Sequences
6,181,2020-12-21,Total Number of Sequences
7,239,2020-12-28,Total Number of Sequences
8,468,2021-01-04,Total Number of Sequences
9,757,2021-01-11,Total Number of Sequences
10,635,2021-01-18,Total Number of Sequences
11,890,2021-01-25,Total Number of Sequences
12,955,2021-02-01,Total Number of Sequences
13,931,2021-02-08,Total Number of Sequences
14,701,2021-02-15,Total Number of Sequences
15,784,2021-02-22,Total Number of Sequences
16,936,2021-03-01,Total Number of Sequences
17,923,2021-03-08,Total Number of Sequences
18,1070,2021-03-15,Total Number of Sequences
19,957,2021-03-22,Total Number of Sequences
20,795,2021-03-29,Total Number of Sequences
21,613,2021-04-05,Total Number of Sequences
22,476,2021-04-12,Total Number of Sequences
23,342,2021-04-19,Total Number of Sequences
24,279,2021-04-26,Total Number of Sequences
25,244,2021-05-03,Total Number of Sequences
26,119,2021-05-10,Total Number of Sequences
27,45,2021-05-17,Total Number of Sequences
28,32,2021-05-24,Total Number of Sequences
29,21,2021-05-31,Total Number of Sequences
