,Totals,Periods,Label
0,59,2021-03-01,Total Number of Sequences
1,45,2021-03-08,Total Number of Sequences
2,132,2021-03-15,Total Number of Sequences
3,163,2021-03-22,Total Number of Sequences
4,440,2021-03-29,Total Number of Sequences
5,879,2021-04-05,Total Number of Sequences
6,1114,2021-04-12,Total Number of Sequences
7,1745,2021-04-19,Total Number of Sequences
8,2126,2021-04-26,Total Number of Sequences
9,3131,2021-05-03,Total Number of Sequences
10,4413,2021-05-10,Total Number of Sequences
11,6897,2021-05-17,Total Number of Sequences
12,9797,2021-05-24,Total Number of Sequences
13,6152,2021-05-31,Total Number of Sequences
14,371,2021-06-07,Total Number of Sequences
