,Totals,Periods,Label
0,28,2020-11-16,Total Number of Sequences
1,43,2020-11-23,Total Number of Sequences
2,40,2020-11-30,Total Number of Sequences
3,27,2020-12-07,Total Number of Sequences
4,22,2020-12-14,Total Number of Sequences
5,35,2020-12-21,Total Number of Sequences
6,36,2020-12-28,Total Number of Sequences
7,23,2021-01-04,Total Number of Sequences
8,37,2021-01-11,Total Number of Sequences
9,38,2021-01-18,Total Number of Sequences
10,32,2021-01-25,Total Number of Sequences
11,25,2021-02-01,Total Number of Sequences
12,11,2021-03-01,Total Number of Sequences
13,55,2021-03-08,Total Number of Sequences
14,18,2021-03-15,Total Number of Sequences
