,Totals,Periods,Label
0,10,2021-03-01,Total Number of Sequences
1,11,2021-03-15,Total Number of Sequences
2,15,2021-03-22,Total Number of Sequences
3,47,2021-03-29,Total Number of Sequences
4,44,2021-04-05,Total Number of Sequences
5,77,2021-04-12,Total Number of Sequences
6,61,2021-04-19,Total Number of Sequences
7,65,2021-04-26,Total Number of Sequences
8,78,2021-05-03,Total Number of Sequences
9,61,2021-05-10,Total Number of Sequences
10,67,2021-05-17,Total Number of Sequences
11,63,2021-05-24,Total Number of Sequences
12,82,2021-05-31,Total Number of Sequences
13,34,2021-06-07,Total Number of Sequences
14,11,2021-06-14,Total Number of Sequences
