,Totals,Periods,Label
0,12,2021-03-08,Total Number of Sequences
1,14,2021-03-22,Total Number of Sequences
2,25,2021-03-29,Total Number of Sequences
3,71,2021-04-05,Total Number of Sequences
4,62,2021-04-12,Total Number of Sequences
5,59,2021-04-19,Total Number of Sequences
6,72,2021-04-26,Total Number of Sequences
7,97,2021-05-03,Total Number of Sequences
8,94,2021-05-10,Total Number of Sequences
9,117,2021-05-17,Total Number of Sequences
10,77,2021-05-24,Total Number of Sequences
11,104,2021-05-31,Total Number of Sequences
12,72,2021-06-07,Total Number of Sequences
13,61,2021-06-14,Total Number of Sequences
14,36,2021-06-21,Total Number of Sequences
