,Totals,Periods,Label
0,10,2020-12-07,Total Number of Sequences
1,25,2020-12-21,Total Number of Sequences
2,71,2020-12-28,Total Number of Sequences
3,99,2021-01-04,Total Number of Sequences
4,130,2021-01-11,Total Number of Sequences
5,152,2021-01-18,Total Number of Sequences
6,283,2021-01-25,Total Number of Sequences
7,429,2021-02-01,Total Number of Sequences
8,701,2021-02-08,Total Number of Sequences
9,691,2021-02-15,Total Number of Sequences
10,1160,2021-02-22,Total Number of Sequences
11,1338,2021-03-01,Total Number of Sequences
12,2137,2021-03-08,Total Number of Sequences
13,3104,2021-03-15,Total Number of Sequences
14,4469,2021-03-22,Total Number of Sequences
15,4932,2021-03-29,Total Number of Sequences
16,5375,2021-04-05,Total Number of Sequences
17,5174,2021-04-12,Total Number of Sequences
18,4020,2021-04-19,Total Number of Sequences
19,3608,2021-04-26,Total Number of Sequences
20,2861,2021-05-03,Total Number of Sequences
21,2213,2021-05-10,Total Number of Sequences
22,1429,2021-05-17,Total Number of Sequences
23,759,2021-05-24,Total Number of Sequences
24,421,2021-05-31,Total Number of Sequences
25,172,2021-06-07,Total Number of Sequences
26,39,2021-06-14,Total Number of Sequences
