,Totals,Periods,Label
0,10,2020-08-24,Total Number of Sequences
1,50,2020-08-31,Total Number of Sequences
2,28,2020-09-07,Total Number of Sequences
3,40,2020-09-14,Total Number of Sequences
4,22,2020-09-21,Total Number of Sequences
5,40,2020-09-28,Total Number of Sequences
6,26,2020-10-05,Total Number of Sequences
7,50,2020-10-12,Total Number of Sequences
8,70,2020-10-19,Total Number of Sequences
9,97,2020-10-26,Total Number of Sequences
10,154,2020-11-02,Total Number of Sequences
11,106,2020-11-09,Total Number of Sequences
12,171,2020-11-16,Total Number of Sequences
13,173,2020-11-23,Total Number of Sequences
14,188,2020-11-30,Total Number of Sequences
15,219,2020-12-07,Total Number of Sequences
16,306,2020-12-14,Total Number of Sequences
17,404,2020-12-21,Total Number of Sequences
18,520,2020-12-28,Total Number of Sequences
19,715,2021-01-04,Total Number of Sequences
20,654,2021-01-11,Total Number of Sequences
21,533,2021-01-18,Total Number of Sequences
22,572,2021-01-25,Total Number of Sequences
23,725,2021-02-01,Total Number of Sequences
24,1002,2021-02-08,Total Number of Sequences
25,1023,2021-02-15,Total Number of Sequences
26,1151,2021-02-22,Total Number of Sequences
27,1341,2021-03-01,Total Number of Sequences
28,1788,2021-03-08,Total Number of Sequences
29,1686,2021-03-15,Total Number of Sequences
30,1633,2021-03-22,Total Number of Sequences
31,1274,2021-03-29,Total Number of Sequences
32,1096,2021-04-05,Total Number of Sequences
33,1190,2021-04-12,Total Number of Sequences
34,951,2021-04-19,Total Number of Sequences
35,1001,2021-04-26,Total Number of Sequences
36,816,2021-05-03,Total Number of Sequences
37,570,2021-05-10,Total Number of Sequences
38,370,2021-05-17,Total Number of Sequences
39,308,2021-05-24,Total Number of Sequences
40,72,2021-05-31,Total Number of Sequences
41,55,2021-06-07,Total Number of Sequences
