,Totals,Periods,Label
0,10,2020-12-28,Total Number of Sequences
1,36,2021-02-01,Total Number of Sequences
2,39,2021-02-08,Total Number of Sequences
3,142,2021-02-15,Total Number of Sequences
4,220,2021-02-22,Total Number of Sequences
5,262,2021-03-01,Total Number of Sequences
6,337,2021-03-08,Total Number of Sequences
7,447,2021-03-15,Total Number of Sequences
8,523,2021-03-22,Total Number of Sequences
9,626,2021-03-29,Total Number of Sequences
10,741,2021-04-05,Total Number of Sequences
11,502,2021-04-12,Total Number of Sequences
12,340,2021-04-19,Total Number of Sequences
13,282,2021-04-26,Total Number of Sequences
14,132,2021-05-03,Total Number of Sequences
15,65,2021-05-10,Total Number of Sequences
16,103,2021-05-17,Total Number of Sequences
17,77,2021-05-24,Total Number of Sequences
18,30,2021-05-31,Total Number of Sequences
19,17,2021-06-07,Total Number of Sequences
