,Totals,Periods,Label
0,10,2020-10-12,Total Number of Sequences
1,18,2020-10-19,Total Number of Sequences
2,33,2020-10-26,Total Number of Sequences
3,34,2020-11-02,Total Number of Sequences
4,30,2020-11-09,Total Number of Sequences
5,40,2020-11-16,Total Number of Sequences
6,106,2020-11-23,Total Number of Sequences
7,63,2020-11-30,Total Number of Sequences
8,104,2020-12-07,Total Number of Sequences
9,136,2020-12-14,Total Number of Sequences
10,140,2020-12-21,Total Number of Sequences
11,167,2020-12-28,Total Number of Sequences
12,293,2021-01-04,Total Number of Sequences
13,258,2021-01-11,Total Number of Sequences
14,287,2021-01-18,Total Number of Sequences
15,324,2021-01-25,Total Number of Sequences
16,312,2021-02-01,Total Number of Sequences
17,349,2021-02-08,Total Number of Sequences
18,303,2021-02-15,Total Number of Sequences
19,300,2021-02-22,Total Number of Sequences
20,206,2021-03-01,Total Number of Sequences
21,194,2021-03-08,Total Number of Sequences
22,153,2021-03-15,Total Number of Sequences
23,139,2021-03-22,Total Number of Sequences
24,118,2021-03-29,Total Number of Sequences
25,77,2021-04-05,Total Number of Sequences
26,44,2021-04-12,Total Number of Sequences
27,22,2021-04-19,Total Number of Sequences
28,16,2021-04-26,Total Number of Sequences
